,timestamps,original,checked
4,0:38,['2과목 빅데이터 탐색 S2-01. 데이터 전처리 데이터 정제 S2-02. 데이터 전처리 분석 변수 처리 S2-03. 데이터 탑색'],2과목 빅 데이터 탐색 S201 데이터 전처리 데이터 정제 S202 데이터 전처리 분석 변수 처리 S203 데이터 탐색
3,3:22,"['데이터 전처리', ""데이터 분석을 위한 필수 과정, 분석 결과의 오류률 방지하고, 신회도률 높일 수 있음 실제 분석 과정의 70-8096클 '수집 및 데이터 전처리 과정에 사용함"", '데이터 정제(Data CIeansing)', '분석 변수 처리', '결측점(Missng Value) 결측값 탈색 결측값 부호화 (NA, NaN.) 결측값 처리', '이상점(0utlier)', '변수 선택 차원 축소 파생 변수 생성 변수 변환 불균형 데이터 처리', '이상값 검출 이상값 처리', 'KDD- PreproceSsing, CRISP-DM Data Understanding', 'KDD- Transformation CRISP-DM Data Preparation', '데이터 정제는 데이터 분석 과정에서 반드시 수행해야 함 데이도큰 대사이 러개 승l도O 드l 걱.끄o클x']",데이터 전처리 데이터 분석을 위한 필수 과정 분석 결과의 오류률 방지하고 신회도률 높일 수 있음 실제 분석 과정의 708096 클 수집 및 데이터 전처리 과정에 사용함 데이터 정제 Data CIeansing 분석 변수 처리 결측젊Missng VVlue 결측값 탈색 결측값 부호화 NA NaN 결측값 처리 이상 젊 0u 베 ier 변수 선택 차원 축소 파생 변수 생성 변수 변환 불균형 데이터 처리 이상 값 검출 이상 값 처리 KDD PreproceSsing CRISPDM Data Understanding KDD Transformation CRISPDM Data Preparation 데이터 정제는 데이터 분석 과정에서 반드시 수행해야 함 모든 데이터를 대상으로 정제활동을 하는 것이 필요함
2,3:55,['80 데이터 정제 1 결측값 처리 2.이상값 처리'],80 데이터 정제 1 결측값 처리 2 이상 값 처리
1,6:27,결측값Missing Value의 개념 데이터가 입력되지 않고 누락된 값 NA NA NULL공백 NaN 등 다양하게 표기된 분석에 영향을 미치기 때문에 반드시 처리해야 함 10 NaN 30 500 20 NaN 40 400 4class Pandas coreframeDataFrame Ran9eIndeX entrieS t0 Data columns tota1 2 columns Column NonNLL Count Dtype Summaryairguality O20ne SolarR Wind Min 100 Min 70 Min 1700 1st Qu 1800 1st Qu 1158 1st 0u 7400 Median 3150 Median 2050 Median 9700 Mean 4213 Mean 1859 Mean 9958 3rd Qu 6325 3rd Qu 2588 3rd 0u 11500 Max 16800 Max 3340 Max 20700 NAs 37 NAs nonnull int64 2 nonnuut float64 dtPes float64I int6nI memory usage  1920 bytes,결측값Missing Value의 개념 데이터가 입력되지 않고 누락된 값 NA NA NULL공백 NaN 등 다양하게 표기팅 분석에 영향을 미치기 때문에 반드시 처리해야 함 10 NaN 30 500 20 NaN 40 400 4class Pandas coreframeDataFrame Ran9eIndeX entrieS t0 Data columns tota1 2 columns Column NonNLL Count Dtype Summaryairguality O20ne SolarR Wind Min 100 Min 70 Min 1700 1st Qu 1800 1st Qu 1158 1st 0u 7400 Median 3150 Median 2050 Median 9700 Mean 4213 Mean 1859 Mean 9958 3rd Qu 6325 3rd Qu 2588 3rd 0u 11500 Max 16800 Max 3340 Max 20700 NAs 37 NAs nonnull int64 2 nonnuut float64 dtPes float64I int6nI memory usage  1920 bytes
0,9:42,"['단순 대치법(Single Imputation) Completes Analysis, 불완전 자료 모두 무시 완전 분석법 관측된 자료 중 일부률 무시하게 되어 효율성 상실, 통계적 추론의 타당성 문제 밭생', '데이터의 평균, 중앙값, 최빈값 등으로 결측값 대치 결측값 발생이 다른 변수와 관계가 있는 경우 유용 (비조건부조건부 평균 대치법이 있음)', '평균 대치법', '평균 대치법에 적절한 확률 값을 부여하여 대치하는 방법 평균 대치법에서 추정한 표준오차의 과소추정문제름 보완하고자 고안된 HotDeck, Cold-Deck, 혼합 방법 등이 있음 Hot-Deck 현재 진행 중인 연구에서 비슷한 성향을 가진 응답자의 자료로 대체 Col-Deck 외부 출처 또는 이전의 비슷한 연구에서 대체할 자료률 가져몸', '단순 확률 대치법', '다중 대치법(mutinle Imputation) 단순 대치법을 한 번이 아난 m번 수행하여 m개의 가상적 완전 자료률 만둡']",단순 대치법 Single Imputation Completes Analysis 불완전 자료 모두 무시 완전 분석 법 관측된 자료 중 일부율 무시하게 되어 효율성 상실 통계적 추론의 타당성 문제 밭생 데이터의 평균 중앙값 최빈값 등으로 결측값 대치 곁 측 값 발생이 다른 변수와 관계가 있는 경우 유용 이 조건부 조건부 평균 대치법이 있음 평균 대치법 평균 대치법에 적절한 확률 값을 부여하여 대치하는 방법 평균 대치법에서 추정한 표준오차의 과소 추정 문지름 보완하고자 고안된 HotDeck ColdDeck 혼합 방법 등이 있음 HotDeck 현재 진행 중인 연구에서 비슷한 성향을 가진 응답자의 자료로 대체 ColDeck 외부 출처 또는 이전의 비슷한 연구에서 대체할 자료율 가져 몸 단순 확률 대치법 다중 대치법 mutinle Imputation 단순 대치법을 한 번이 아난 m 번 수행하여 m 개의 가상적 완전 자료율 만둡 추정량 표준오차의 과소추정 및 계산의 난해성 문제를 가지고있음
